trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.8, 'e': 0.7359999999999998}",20,0,-31.410184600756043,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
133,False,"{'a': 0.8, 'e': 0.7339999999999998}",25,8,-122.5429863808887,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 2}",1
134,False,"{'a': 0.8, 'e': 0.7319999999999998}",25,0,-38.68187397620371,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
135,False,"{'a': 0.8, 'e': 0.7299999999999998}",30,0,-52.54817911547573,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.8, 'e': 0.7279999999999998}",25,1,-95.12037414879092,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 2}",1
137,False,"{'a': 0.8, 'e': 0.7259999999999998}",25,0,-63.68146862119099,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.8, 'e': 0.7239999999999998}",25,0,-149.90689307327915,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
139,False,"{'a': 0.8, 'e': 0.7219999999999998}",30,0,-252.9738151326714,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 6}",0
140,False,"{'a': 0.8, 'e': 0.7199999999999998}",20,8,-34.53943758010745,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.7179999999999997}",20,0,-0.8437790321478192,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.8, 'e': 0.7159999999999997}",35,0,-130.55910878979094,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
143,False,"{'a': 0.8, 'e': 0.7139999999999997}",25,0,-121.57325600766139,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
144,False,"{'a': 0.8, 'e': 0.7119999999999997}",25,5,-23.030664009746975,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.7099999999999997}",25,8,-54.69044875756177,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.7079999999999997}",30,18,-32.80621178966006,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.7059999999999997}",20,0,-34.647935828562744,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
148,False,"{'a': 0.8, 'e': 0.7039999999999997}",30,0,-135.84497655041145,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
149,False,"{'a': 0.8, 'e': 0.7019999999999997}",20,0,-135.4809595102683,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
150,False,"{'a': 0.8, 'e': 0.6999999999999997}",20,5,-64.5779770650903,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
151,False,"{'a': 0.8, 'e': 0.6979999999999997}",20,0,-42.531709896600546,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
152,False,"{'a': 0.8, 'e': 0.6959999999999997}",25,0,-69.65880595820535,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
153,False,"{'a': 0.8, 'e': 0.6939999999999997}",20,0,-102.90240682392452,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
154,False,"{'a': 0.8, 'e': 0.6919999999999997}",25,2,-18.162294163567314,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.6899999999999997}",20,0,-120.45178741860445,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
156,False,"{'a': 0.8, 'e': 0.6879999999999997}",30,0,-124.98475260938518,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
157,False,"{'a': 0.8, 'e': 0.6859999999999997}",20,0,-73.89764283961769,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
158,False,"{'a': 0.8, 'e': 0.6839999999999997}",20,0,-17.99060999042421,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
159,False,"{'a': 0.8, 'e': 0.6819999999999997}",25,0,-70.06521910246528,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
160,False,"{'a': 0.8, 'e': 0.6799999999999997}",20,13,-19.619272457658095,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.6779999999999997}",20,14,-13.346310382425155,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.6759999999999997}",20,1,-67.23153852418531,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 1}",1
163,False,"{'a': 0.8, 'e': 0.6739999999999997}",20,0,-120.01528101457946,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
164,False,"{'a': 0.8, 'e': 0.6719999999999997}",30,3,-143.55889192612537,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 2}",1
165,False,"{'a': 0.8, 'e': 0.6699999999999997}",25,13,9.61654549109622,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.6679999999999997}",25,0,-29.34720663670163,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
167,False,"{'a': 0.8, 'e': 0.6659999999999997}",20,10,-35.49786508980315,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.6639999999999997}",20,0,-30.589233714388016,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
169,False,"{'a': 0.8, 'e': 0.6619999999999997}",20,1,13.162493621459062,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.6599999999999997}",20,0,-30.45789620285744,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
171,False,"{'a': 0.8, 'e': 0.6579999999999997}",20,0,-87.02413101694526,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
172,False,"{'a': 0.8, 'e': 0.6559999999999997}",25,0,-49.49378784851953,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.8, 'e': 0.6539999999999997}",25,3,-44.16776220482265,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
174,False,"{'a': 0.8, 'e': 0.6519999999999997}",20,0,-63.25380161551861,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
175,False,"{'a': 0.8, 'e': 0.6499999999999997}",30,18,-21.11820980842405,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.6479999999999997}",35,0,-120.06924524631194,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
177,False,"{'a': 0.8, 'e': 0.6459999999999997}",20,15,-4.245167647645746,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.6439999999999997}",20,10,4.4377696166861735,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.6419999999999997}",20,0,-35.50435078215785,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
180,False,"{'a': 0.8, 'e': 0.6399999999999997}",30,7,-92.78426584770145,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1
181,False,"{'a': 0.8, 'e': 0.6379999999999997}",30,0,-107.25350446144489,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
182,False,"{'a': 0.8, 'e': 0.6359999999999997}",20,0,-43.36180859677292,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.6339999999999997}",35,24,-27.315025537131593,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
